symbol,companyName,growthRevenue,growthNetIncome,growthEBITDA,growthEPS,growthEPSDiluted,revenue,netIncome,ebitda,marketCap,peRatio,eps,returnOnEquityTTM,freeCashFlowToEquityTTM,workingCapitalTTM,netDebtToEBITDATTM
M,"Macy's, Inc.",-0.0360345261040811,11.933333333333334,0.6362790697674419,12.125,11.9375,23006000000,582000000,1759000000,5027172003,10.64,1.76,0.1124936083177092,-3682000000,1606000000,2.8228155339805827
FGN,"F&G Annuities & Life, Inc.",0.2660348247740798,11.724137931034482,14.858695652173912,11.595744680851064,11.106382978723405,5744000000,622000000,1459000000,4715286629,null,null,0.0795414668382266,5021000000,52077000000,0.2997438087105038
THG,"The Hanover Insurance Group, Inc.",0.0424750565942818,11.06798866855524,6.03558282208589,11.091836734693876,10.93877551020408,6216800000,426000000,573400000,6252379530,11.51,15.18,0.1854059197676165,304300000,1100400000,0.7383879781420765
EQX,Equinox Gold Corp.,0.3914101476670915,10.746537875640492,2.09823482428115,7.766233766233767,6.447973713033954,1514120000,339287000,901865175,8404442261,-85,-0.13,0.0122236343431359,-1207618000,-69568000,2.1659458189518563
MU,"Micron Technology, Inc.",0.4885110111106686,9.975578406169666,1.0665250447227193,9.928571428571429,9.842857142857143,37378000000,8539000000,18483000000,244425082975,28.89,7.58,0.1704876137424317,-3968000000,17387000000,0.3049288535410918
VHI,"Valhi, Inc.",0.0952802206379768,9.925619834710744,4.736089030206677,10.023809523809524,10.023809523809524,2104800000,108000000,360800000,415477661,4.27,3.44,0.0935934742388001,-755900000,884300000,1.173900789177001
BV,"BrightView Holdings, Inc.",-0.0173650568181818,9.623376623376624,0.1693672839506173,3.5485436893203883,3.4271844660194173,2767100000,66400000,303100000,1260272000,110.67,0.12,0.032651824928063,31200000,156000000,0.0051107325383304
IVZ,Invesco Ltd.,0.0613323070463928,8.995872033023735,0.0985504684461728,2.616438356164384,2.616438356164384,6067000000,774800000,1242900000,10257166779,24.73,0.93,0.0564143316173167,805200000,-1725100000,0.2989855846235985
CHWY,"Chewy, Inc.",0.0640144352387752,8.922637695805962,0.6827280889136559,9.086767895878523,8.934497816593886,11861335000,392738000,271769000,14559601375,97.53,0.36,0.4834494446092831,560672000,-411300000,-0.2935009222598069
ULCC,"Frontier Group Holdings, Inc.",0.0518250208971858,8.727272727272727,0.4698795180722891,8.6,8.6,3775000000,85000000,122000000,946845151,-27.67,-0.15,-0.0592193808882907,-4517000000,-1213000000,100.16279069767442
SKYW,"SkyWest, Inc.",0.2018401380103507,8.404286296662978,0.6782831908852466,9.28205128205128,9.09090909090909,3527920000,322962000,930363000,4051957789,10.23,9.81,0.1668840989797574,-2196247000,-396152000,2.966161690824317
CENX,Century Aluminum Company,0.01596961654617,8.399071925754061,9.338709677419354,8.319148936170214,7.957446808510639,2220300000,318900000,448700000,2873911536,25.66,1.2,0.1681681681681681,-460900000,339200000,1.885358522971232
IAG,IAMGOLD Corporation,0.6543409988856246,7.691410392364793,1.085288522511097,6.6,6.894736842105264,1633000000,819600000,657700000,6831598811,8.31,1.43,0.238110499131718,-953900000,194300000,0.7372029250457038
KYN,"Kayne Anderson Energy Infrastructure Fund, Inc.",4.715033972313054,7.257374297210157,7.428766535573829,5.7073170731707314,5.7073170731707314,1167490000,929673000,1178763000,1961862041,3.62,3.2,0.228227620805407,-182995000,1845000,0.5224057865420374
NRG,"NRG Energy, Inc.",-0.0240432987544669,6.569306930693069,1.0022870211549455,5.5892857142857135,5.455357142857142,28130000000,1125000000,3502000000,32952871429,73.12,2.33,0.207492795389049,-9556000000,-586000000,4.271875
MC,Moelis & Company,0.3975405616626187,6.506882591093118,6.724644919619166,6.25,5.944444444444445,1194545000,136020000,183389000,5260702696,27.7,2.56,0.4378717908902977,482655000,-255863000,-0.0145267491331572
HIMS,"Hims & Hers Health, Inc.",0.69325,6.352841246920921,4.961831678202428,6.2727272727272725,5.818181818181818,1476514000,126038000,78991000,10616574711,61.75,0.79,0.381723684444015,212565000,1083334000,-0.518132773380714
ACM,Aecom,0.1201127853669457,6.27004265163016,0.9734715124155146,6.425000000000001,6.564102564102564,16105498000,402266000,1082384000,17599437901,26.42,5.03,0.2679252030686043,-431153000,1039057000,0.989615864161893
HLX,"Helix Energy Solutions Group, Inc.",0.0533693926161175,6.1335117180291565,0.3118208809828539,6.153203342618384,6.01392757660167,1358560000,55637000,253167000,1028899011,25,0.28,0.0274956951404009,-206030000,484120000,1.2530133220554027
AES,The AES Corporation,-0.031397917324077,5.966942148760331,0.4502762430939226,5.432432432432432,5.742857142857143,12278000000,1686000000,3675000000,10360321156,11.19,1.3,0.2933701256263161,-31615000000,-1359000000,8.633134328358208
GTN,"Gray Media, Inc.",0.1106370009143553,5.934210526315789,0.787661406025825,3.4460431654676262,3.41726618705036,3644000000,375000000,1246000000,446776183,3.16,1.53,0.0698812019566736,626000000,-71000000,5.242802303262956
AMED,"Amedisys, Inc.",0.0500549548332977,5.435313429773264,-0.6613895893745418,5.4,5.366666666666667,2348324000,43231000,73449000,3321328621,39.295719844357976,2.57,0.1270058231471211,120965000,173837000,0.6926309652500273
TFC,Truist Financial Corporation,-0.1902170283806344,5.416131989000917,-0.16,4.08256880733945,4.08256880733945,24253000000,4818000000,378000000,56980353600,11.85,3.73,0.0777847546842174,-51932000000,54916000000,10.51165851823994
LNC,Lincoln National Corporation,0.5447831687419493,5.355053191489362,6.29305912596401,5.327313769751694,5.252821670428895,17989000000,3275000000,4118000000,7569939662,6.67,5.99,0.1297433115381321,2312000000,7143000000,-1.0617283950617284
LDOS,"Leidos Holdings, Inc.",0.0792848814613291,5.301507537688442,1.2431289640591967,5.455172413793103,5.402777777777779,16662000000,1254000000,2122000000,24371361187,17.94,10.59,0.3125104485929228,-3370000000,1833000000,2.0489480463718333
AU,AngloGold Ashanti Plc,0.2642950676560454,5.272340425531915,0.962360992301112,5.160714285714286,5.160714285714286,5793000000,1004000000,2294000000,34610325565,19.32,3.55,0.2894251583420187,1475000000,2670000000,0.0953695185525912
NESR,National Energy Services Reunited Corp.,0.1359516194482138,5.0659777424483305,0.2765509265633175,5.153846153846154,5.153846153846154,1301704000,76310000,278163000,1240343321,16.34,0.76,0.0802898908347881,-123977000,61821000,1.033489788680977
H,Hyatt Hotels Corporation,-0.0867276253809919,4.890909090909091,0.0288461538461538,5.185714285714286,5.200980392156862,3296000000,1296000000,749000000,14215206707,33.91,4.39,0.1211271554745548,-5391000000,-975000000,7.454421768707483
CWK,Cushman & Wakefield plc,-0.0049717180867312,4.709039548022599,0.0149646107178968,4.5625,4.5,9446500000,131300000,501900000,3954553169,19.41,0.88,0.1153393487642212,-2483400000,311600000,4.38216134959078
LAZ,Lazard Ltd,0.2097728858471114,4.708475205023914,11.49966995085935,4.255555555555556,3.977777777777778,3086300000,279912000,511274000,4643329721,19.53,2.52,0.3872997133992324,-460812000,1089007000,2.8541462098431976
REVG,"REV Group, Inc.",-0.0977255496588324,4.686534216335541,2.489380530973451,5.22077922077922,5.129870129870129,2380200000,257600000,394300000,2968890580,28.7,2.12,0.2684897451833437,127800000,315300000,0.3929939792008757
BALL,Ball Corporation,-0.0221356325650804,4.669024045261669,-0.1772727272727272,4.831111111111111,4.829596412556054,11795000000,4008000000,1448000000,13561179438,24.67,2.02,0.0956476862205401,-6355000000,-7000000,4.154938271604938
GEV,GE Vernova Inc.,0.0510243990493095,4.54337899543379,0.7628755364806867,3.848484848484848,3.8181818181818175,34935000000,1552000000,1643000000,158559497534,95.33,6.13,0.1910528086108308,7910000000,-436000000,-3.858669256920835
EMP,"Entergy Mississippi, Inc. 1M BD 66",5.590532877900155,4.490115514040079,6.794316582990235,1.7142857142857142,1.6923076923076923,11879653000,1055590000,4658967000,190313244,1.66,13.242,0.2144680496973799,477419000,9978000,0
NCLH,Norwegian Cruise Line Holdings Ltd.,0.1087409665863696,4.477602330031653,0.4057058203110246,4.358974358974358,3.846153846153846,9479651000,910257000,2493642000,10611381401,16.08,1.46,0.5186093137520906,-14083873000,-5215305000,5.916084582823895
RRX,Regal Rexnord Corporation,-0.0347001135872782,4.418118466898955,0.1998970133882595,4.39080459770115,4.379310344827586,6033800000,196200000,1165100000,9777582371,39.18,3.76,0.0387388223645533,-3795800000,1258700000,3.985110184633711
CMI,Cummins Inc.,0.0010861588140319,4.368707482993197,1.095206611570248,4.500963391136801,4.508737864077669,34102000000,3946000000,6338000000,58069925715,19.74,21.35,0.2716921868865332,-4713000000,6618000000,1.1640453547915142
MTZ,"MasTec, Inc.",0.0256361863944899,4.25908426595127,0.259628568362736,4.265625,4.21875,12303464000,162788000,950847000,16719017294,63.06,3.36,0.0919756762977201,-1849195000,679341000,2.566988281088244
THC,Tenet Healthcare Corporation,0.0056939848160404,4.237315875613748,1.0342384887839433,4.494176372712148,4.726795096322242,20665000000,3200000000,6892000000,18587283380,13.22,15.91,0.3725133354251647,-8997000000,3027000000,2.28602383531961
UBER,"Uber Technologies, Inc.",0.1796357393846731,4.223105458399576,0.4257347100873709,4.233333333333333,4.241379310344827,43978000000,9856000000,5385000000,196175334851,16.03,5.87,0.6241920134468737,3827000000,1421000000,0.6072671047545419
TIGO,Millicom International Cellular S.A.,0.0252605546723193,4.085365853658536,0.1001423825344091,4.0625,4.041666666666667,5804000000,253000000,2450000000,8039382065,8.4,5.64,0.2649578602772167,-5556000000,-354000000,2.2567934782608696
TTMI,"TTM Technologies, Inc.",0.0941454388602895,4.00774655411903,0.3471436411230204,4.055555555555555,4,2442753000,56299000,277389000,6069654848,66.01,0.89,0.0588420822326765,-562002000,848696000,1.8509892959329648
MSA,MSA Safety Incorporated,0.0114636726378306,3.8643292422716486,0.515713221767443,3.859060402684564,3.871621621621622,1808140000,284967000,476228000,6583889604,24.03,7,0.2366548320168255,399498000,601997000,1.3469162226926925
MCY,Mercury General Corporation,0.1827363779100321,3.8575091346952335,2.0928986861522594,3.8563218390804592,3.8563218390804592,5475633000,467953000,605704000,4390102576,11.26,7.04,0.2053280715343571,1365454000,1834560000,-0.9594136969798844
TRMB,Trimble Inc.,-0.0303788138047226,3.832637327336974,2.029664324746292,3.865079365079365,3.872,3683300000,1504400000,2328600000,19375443552,69.59,1.17,0.050458473397983,-959400000,-87500000,1.9537617554858933
GTLS,"Chart Industries, Inc.",0.2409545115585384,3.619450317124736,0.5857834659287444,8.458333333333334,8.534883720930232,4160300000,218500000,916900000,8965149628,36.6,5.45,0.0902782922191767,-2847600000,985500000,3.423849243126352
ENO,"Entergy New Orleans, LLC First Mortgage Bonds, 5.50% Series due April 1, 2066",13.07653569655411,3.6108116607989937,28.54341498677861,1.287037037037037,1.2685185185185186,11879653000,1055590000,4658967000,197028857,null,null,0.2445991799627989,357462000,9978000,0
HOOD,"Robinhood Markets, Inc.",0.5823056300268097,3.608133086876155,3.463043478260869,3.6346122180141616,3.568746912563807,2951000000,1411000000,1133000000,124226246202,70.96,1.97,0.2291940394167601,-5616000000,6711000000,5.29875
FSM,Fortuna Mining Corp.,0.2606857796749395,3.5323589582185853,1.0549549588585243,3.4705882352941173,3.4117647058823524,1062037000,128735000,474261000,2504793486,14.84,0.55,0.1091316385855426,400644000,370548000,-0.2870649466365184
RVTY,"Revvity, Inc.",0.0016196636989192,3.499053878254405,0.1775538919050729,3.5386073949225745,3.53723796481618,2755026000,295833000,840253000,11478417436,43,2.3,0.0371205481875648,-1880045000,1564369000,2.8993387394073595
GHLD,Guild Holdings Company,0.6280429242007841,3.4899638544951164,1.6361481830100515,3.4687500000000004,3.4375,1174716000,97131000,156835000,1240120018,47.43,0.42,0.0213812233863239,-551901000,-1814183000,34.251142088634616
NWSA,News Corporation,0.0242365487154629,3.43609022556391,0.1402095084609186,3.4255319148936176,3.5,8452000000,1180000000,1415000000,14942009207,31.33,0.84,0.1414062734054345,190000000,2203000000,0.3422562141491396
BLBD,Blue Bird Corporation,0.1892322780949387,3.432513018646061,1.5006976706009816,3.41891891891892,3.27027027027027,1347154000,105547000,152335000,1787693826,16.15,3.49,0.6168184503691245,238296000,132094000,-0.4867240268264159
APP,AppLovin Corporation,0.4343963470964979,3.428728017919268,1.045805999250814,3.633663366336634,3.622448979591837,4709248000,1579776000,2342945000,209704185960,85.52,7.25,2.577406292732243,534093000,1898804000,0.7446571368369119
CALM,"Cal-Maine Foods, Inc.",0.8319318375734974,3.390430677107324,2.8519174790873056,3.3929824561403508,3.3848857644991206,4261885000,1220048000,1697775000,4365448996,3.46,26.01,0.524305484565991,1469522000,1576903000,-0.1434839657721938
STX,Seagate Technology Holdings plc,0.3886429552740039,3.385074626865672,1.0028818443804035,3.33125,3.2848101265822782,9097000000,1469000000,2085000000,49797307143,34.58,6.77,-1.6050259491942092,-3286000000,1005000000,1.9683453237410071
TWO,Two Harbors Investment Corp.,3.4291126783026096,3.36602081394365,-0.3841831120764801,2.50625,2.48125,1138623000,251676000,344754000,1022536351,-2.91,-3.37,-0.1497404470408416,506319000,-499361000,-1.14724442453062
WDC,Western Digital Corporation,0.5070444831407314,3.3320802005012533,6.9753086419753085,3.03448275862069,2.9616858237547894,9520000000,1861000000,1938000000,44912469378,29.09,4.45,0.2124900466386076,-1318000000,438000000,0.9988461538461538
DXC,DXC Technology Company,-0.0582424818906855,3.274725274725274,0.2192159028161237,3.6739130434782608,3.565217391304348,12871000000,389000000,2208000000,2423641978,6.6,2.05,0.1225743855109961,-1952000000,979000000,1.3889145496535795
VYX,NCR Voyix Corporation,-0.2621409921671018,3.264775413711584,-0.5622641509433962,-0.3012820512820511,-0.3012820512820511,2826000000,958000000,232000000,1631165153,-22.69,-0.52,0.868830591373944,-1460000000,168000000,3.915129151291513
XPRO,Expro Group Holdings N.V.,0.1322334481783014,3.222517123287671,0.3895561755008876,3.1428571428571432,3.1428571428571432,1712802000,51918000,273951000,1584782895,22.85,0.6,0.0457494417178667,234646000,517567000,-0.3620655257649688
ARDT,"Ardent Health Partners, LLC",0.10289134839688,3.182434582040881,0.5883495811380701,3.542857142857144,3.5142857142857147,5966072000,210343000,555916000,2176649059,8.05,1.89,0.2232186493318128,-1617919000,996241000,2.804585019798876
MPWR,"Monolithic Power Systems, Inc.",0.2119784390732491,3.180647395489665,0.1032450412336368,3.093541202672605,3.176940639269408,2207100000,1786700000,575788000,51479589720,28.1,38.25,0.6119441566559419,1477747000,1535249000,-1.0943880699494544
WIX,Wix.com Ltd.,0.1274184924423612,3.174246310770438,1.704559595988829,3.2931034482758625,3.140350877192983,1760650000,138322000,186904000,7847786828,49.98,2.82,-1.178447586968193,246747000,-303572000,1.2887924820110883
CARR,Carrier Global Corporation,0.1865336921534483,3.1541882876204594,0.3202372127501853,-0.2590361445783132,-0.2515337423312883,22486000000,5604000000,3562000000,49223160892,33.24,1.74,0.2802978775353599,-9548000000,1302000000,2.788833609729132
UFCS,"United Fire Group, Inc.",0.1397839084938875,3.086094276094276,4.668901475744615,3.076271186440678,3.02542372881356,1251860000,61957000,95219000,797517627,8.91,3.51,0.1137059520522589,376605000,715058000,-0.6385670708801033
PKOH,Park-Ohio Holdings Corp.,-0.0021088148460565,3.076923076923077,0.0600169061707523,4.190476190476191,4.14516129032258,1656200000,31800000,125400000,295245388,7.65,2.68,0.0798735813819853,-688400000,537600000,5.721551724137931
VTR,"Ventas, Inc.",0.0948100049201536,2.9806457911307445,0.0231641485196965,3.0000000000000004,2.9000000000000004,4924266000,81153000,1873389000,31990227205,163.7,0.43,0.0175706913406797,-11712383000,-58360000,6.300039463750828
GNW,"Genworth Financial, Inc.",-0.0460737179487179,2.9342105263157894,0.5401301518438177,3.3125,3.25,7143000000,299000000,710000000,3513314398,17.47,0.49,0.0220388887269335,61449000000,61221000000,-74.34744707347447
RKT,"Rocket Companies, Inc.",0.3483733942574585,2.8931287869021527,3.668829837403375,1.0905172413793105,2.4,5401391000,29370000,780969000,37717959034,-595.67,-0.03,-0.000131234210884,-17403498000,4850358000,63.50962986446857
ES,Eversource Energy,-0.0008308492234506,2.83532244934877,1.9592859388866488,2.787401574803149,2.787401574803149,11900809000,811653000,4131539000,27711170565,32.61,2.29,0.0561772424905663,-30449222000,-1976179000,6.46921565895364
KTOS,"Kratos Defense & Security Solutions, Inc.",0.0956513354546331,2.831460674157303,0.2125786163522012,2.6105417276720355,2.6105417276720355,1136300000,16300000,96400000,15390682510,911.8,0.1,0.0095967701904462,443100000,1106500000,-6.424203821656051
TIPT,Tiptree Inc.,0.2388208590378228,2.8253171815640457,0.5141828911192078,3.235294117647058,2.939393939393939,2042854000,53367000,203220000,670502986,13.86,1.29,0.11844701117314,498290000,1776616000,-1.8939878414653404
HLMN,Hillman Solutions Corp.,-0.0026292316101097,2.799457711961623,0.182206082117348,2.7886178861788613,2.7621951219512195,1472595000,17255000,215833000,1925006052,88.55,0.11,0.0182864655158265,-671693000,350293000,3.768869981441856
DDOG,"Datadog, Inc.",0.2611946574802465,2.783272936913194,1.1169703546392027,2.666666666666667,2.642857142857143,2684275000,183746000,317988000,54570134844,447.06,0.35,0.043498834971101,177656000,3291484000,3.0195410428615306
PFE,Pfizer Inc.,0.0684096519067049,2.7599624941397094,0.8967249136758397,2.7760319573901464,2.795797413793104,63627000000,8020000000,18127000000,140774230380,13.1,1.89,0.1196366286346871,-47721000000,5977000000,2.641448957189901
KRO,"Kronos Worldwide, Inc.",0.1323732373237323,2.7556008146639512,96.14814814814817,2.744186046511628,2.744186046511628,1887100000,86200000,256900000,569512924,8.39,0.59,0.0804002144005717,-613800000,697400000,2.3866125760649086
SAFT,"Safety Insurance Group, Inc.",0.2051119716612116,2.747496688741722,2.5032446921069336,2.7421875,2.734375,1109737000,70734000,99331000,1036038674,12.14,5.73,0.0997145573406004,164324000,368766000,-0.0499496335405884
BORR,Borr Drilling Limited,0.3097459823742872,2.7149321266968327,0.397950963755699,2.646408839779006,2.591470258136925,1010600000,82100000,505000000,738865723,13.68,0.22,0.054623330813807,-2196600000,101200000,4.3272968197879855
CG,The Carlyle Group Inc.,0.8306285637167246,2.6771860618014465,4.753985248631929,2.696428571428572,2.648809523809524,5425800000,1020400000,1577800000,21152502961,17.1,3.42,0.2143070375203637,-8076900000,-4414600000,4.8369207530884175
CGABL,The Carlyle Group Inc. 4.625% Subordinated Notes due 2061,0.8306285637167246,2.6771860618014465,2.946261252985486,2.696428571428572,2.648809523809524,5425800000,1020400000,2118700000,6549439036,null,null,0.2143070375203637,-8076900000,-4414600000,4.8369207530884175
CWT,California Water Service Group,0.3047624560802988,2.675656411935813,0.9502937417830448,2.582417582417582,2.571428571428571,1036806000,190807000,424263000,2954033665,21.75,2.28,0.0828769031988826,-140436000,-324499000,0.0607844767844767
SOFI,"SoFi Technologies, Inc.",0.2782137411640625,2.658115594097266,5.379729702632793,2.277777777777778,2.083333333333333,3703678000,498665000,436843000,34738027401,58.02,0.5,0.0857867930938971,-4932850000,-25529362000,3.586697054106525
LIVN,LivaNova PLC,0.0865956681360501,2.6038983244044225,4.19079352060693,2.545454545454545,2.625,1253437000,63234000,202524000,2997052897,-14.15,-3.88,-0.1765595342311411,282336000,239042000,1.6431480266754126
VVX,"V2X, Inc.",0.090592375816464,2.536525938067603,0.1320817544584336,2.5068493150684934,2.4794520547945207,4322155000,34684000,268583000,1945595517,27.76,2.21,0.068355772124506,294264000,180561000,-0.594993051581787
GHC,Graham Holdings Company,0.0851727013006251,2.5298410038579946,1.4472944243707404,2.7447679708826205,2.7288909173893203,4790904000,724634000,1398641000,4456827375,6.63,154.11,0.1613356990991041,-657890000,430238000,0.9070574828622758
NTNX,"Nutanix, Inc.",0.1810815816710225,2.509645361650972,1.0129335060632447,2.372549019607843,2.274509803921569,2537927000,188366000,284349000,18729515362,107.72,0.65,-0.2599116085830467,36869000,1175625000,2.5598656374148123
BGC,"BGC Group, Inc",0.1144537391558193,2.5016682751964705,0.6050186434617867,2.266331658291457,2.607503607503608,2206595000,126988000,345652000,4495731084,31.43,0.3,0.1671665489506852,-705100000,-86144000,2.760482404332331
CNDT,Conduent Incorporated,-0.0983342289091886,2.439189189189189,17.209302325581394,2.6170212765957444,2.581560283687943,3356000000,426000000,783000000,410732457,20,0.13,0.0207200207200207,-468000000,450000000,2.1524663677130045
KBR,"KBR, Inc.",0.1129959746981023,2.4150943396226414,6.355555555555555,2.423469387755102,2.4285714285714284,7742000000,375000000,662000000,5679339315,13.86,3.18,0.2491467576791808,-2095000000,235000000,2.832035595105673
SLQT,"SelectQuote, Inc.",0.1549566643667308,2.394285714285714,0.6022596470838036,1.7,1.0665,1526594000,47580000,143375000,356919786,206,0.01,0.110088941128562,-77449000,128132000,0.5815029536019313
TRU,TransUnion,0.0920338275214032,2.379243452958293,0.8044357860032969,2.364485981308411,2.355140186915888,4183800000,284400000,1204100000,16674880000,40,2.14,0.0955877338546521,-3794500000,993900000,3.1166737983169304
PPC,Pilgrim's Pride Corporation,0.0297239690069534,2.3785007494386985,1.032690091290812,2.367647058823529,2.3602941176470584,17878291000,1086438000,2007066000,8900902839,7.22,5.19,0.323153918009488,-1156342000,1637832000,1.1951440104807445
PRA,ProAssurance Corporation,-0.0079237644344238,2.366283286706041,9.300619009584665,2.410958904109589,2.410958904109589,1128201000,52744000,103171000,1239582933,25.38,0.95,0.0394257610264992,-6551000,535392000,-0.3147091660838946
